appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,steamspy_tags,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price
339910,Uncraft World,2015-09-25,1,Studio TeamShuriken,Studio TeamShuriken,windows,0,Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Turn Notifications;Includes level editor,Action;Indie;Early Access,Early Access;Anime;Nudity,37,372,64,0,0,0-20000,6.99
340310,Teddy Floppy Ear - Kayaking,2015-01-16,1,Forever Entertainment S. A.,Forever Entertainment S. A.,windows;mac;linux,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie,Adventure;Casual;Family Friendly,0,371,96,271,349,100000-200000,3.99
340370,Shades of Black,2015-09-09,1,MDNA Games,"Tri Synergy, Inc.",windows;mac,0,Single-player;Steam Achievements,Adventure;Casual,Adventure;Casual,10,12,1,0,0,0-20000,8.99
340520,Tallowmere,2015-03-03,1,Chris McFarland,Chris McFarland,windows;mac;linux,12,Single-player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie,Action;Indie;Violent,28,581,42,420,487,20000-50000,2.89
340960,Pulsen,2015-07-27,1,4-Panel Footprint,4-Panel Footprint,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Stats;Steam Turn Notifications,Indie;Simulation;Sports;Early Access,Early Access;Indie;Music,0,41,10,0,0,0-20000,11.39
341010,Pluck,2015-07-31,1,Benjamin Lapid,Benjamin Lapid,windows,0,Single-player;Shared/Split Screen;Full controller support,Action;Adventure;Indie;Early Access,Early Access;Action;Adventure,0,0,3,0,0,0-20000,6.99
341660,Barren Roads,2015-06-01,1,Forcequitapplicatons,Forcequitapplicatons,windows;mac,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer,Action;Adventure;RPG;Early Access,Early Access;Action;Adventure,0,36,40,0,0,0-20000,5.99
342020,BiT Evolution,2015-06-09,1,Major Games,Major Games,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Stats,Action;Adventure;Indie,Adventure;Action;Indie,14,85,61,0,0,50000-100000,6.99
342380,Sakura Angels,2015-01-16,1,Winged Cloud,Winged Cloud,windows;mac;linux,0,Single-player;Steam Trading Cards,Sexual Content;Nudity;Casual;Indie,Nudity;Anime;Mature,0,1759,307,688,1147,200000-500000,6.99
343690,Silicone-2,2015-06-03,1,Dima Kiva,Dima Kiva,windows;linux,0,Single-player,Action,Action;FPS,0,13,17,0,0,0-20000,0.79
344760,Reign Of Kings,2015-12-15,1,Code}{atch,Code}{atch,windows,0,Multi-player,Action;Adventure;Indie;RPG;Simulation,Survival;Open World;Medieval,0,8076,5997,3498,3322,200000-500000,7.19
